dataset_name,subset_name,test_size,prompt_name,checkpoint,accuracy,time
super_glue,wic,100,question-context-meaning-with-label,bigscience/T0_3B,0.48,0.4520723819732666
super_glue,wic,100,question-context-meaning,bigscience/T0_3B,0.49,0.41036176681518555
super_glue,wic,100,grammar_homework,bigscience/T0_3B,0.49,0.46088624000549316
super_glue,wic,100,affirmation_true_or_false,bigscience/T0_3B,0.44,0.6208386421203613
super_glue,wic,100,GPT-3-prompt,bigscience/T0_3B,0.49,0.42571377754211426
super_glue,wic,100,same_sense,bigscience/T0_3B,0.47,0.4809885025024414
super_glue,wic,100,question-context,bigscience/T0_3B,0.44,0.8188247680664062
super_glue,wic,100,GPT-3-prompt-with-label,bigscience/T0_3B,0.48,0.4534318447113037
super_glue,wic,100,polysemous,bigscience/T0_3B,0.46,0.5064976215362549
super_glue,wic,100,similar-sense,bigscience/T0_3B,0.04,1.4347240924835205
hellaswag,,100,Predict ending with hint,bigscience/T0_3B,0.0,4.151268720626831
hellaswag,,100,Randomized prompts template,bigscience/T0_3B,0.03,6.185519218444824
hellaswag,,100,complete_first_then,bigscience/T0_3B,0.0,10.81061863899231
hellaswag,,100,if_begins_how_continues,bigscience/T0_3B,0.02,8.525306940078735
super_glue,copa,100,exercise,bigscience/T0_3B,0.81,1.1299998760223389
super_glue,copa,48,"…What could happen next, C1 or C2?",bigscience/T0_3B,0.6458333333333334,0.49388599395751953
super_glue,copa,100,i_am_hesitating,bigscience/T0_3B,0.78,1.2070729732513428
super_glue,copa,100,plausible_alternatives,bigscience/T0_3B,0.84,1.0900743007659912
super_glue,copa,100,"C1 or C2? premise, so/because…",bigscience/T0_3B,0.52,1.071561574935913
super_glue,copa,48,"…As a result, C1 or C2?",bigscience/T0_3B,0.5416666666666666,0.5228166580200195
super_glue,copa,100,best_option,bigscience/T0_3B,0.68,1.2371611595153809
super_glue,copa,52,…which may be caused by,bigscience/T0_3B,0.5769230769230769,0.5965163707733154
super_glue,copa,100,more likely,bigscience/T0_3B,0.78,1.1319913864135742
super_glue,copa,100,cause_effect,bigscience/T0_3B,0.73,1.0881762504577637
super_glue,copa,52,…why? C1 or C2,bigscience/T0_3B,0.6730769230769231,0.5854511260986328
super_glue,copa,100,choose,bigscience/T0_3B,0.8,1.0720531940460205
