checkpoint,dataset_name,subset_name,test_size,time,prompt_name,accuracy
bigscience/T0_3B,super_glue,wic,200,0.9612932205200195,same_sense,0.49
bigscience/T0_3B,super_glue,wic,200,1.4961795806884766,question-context,0.47
bigscience/T0_3B,super_glue,wic,200,0.8913259506225586,GPT-3-prompt-with-label,0.495
bigscience/T0_3B,super_glue,wic,200,1.018052101135254,polysemous,0.485
bigscience/T0_3B,super_glue,wic,200,2.337481737136841,similar-sense,0.04
bigscience/T0_3B,hellaswag,,200,8.355424404144287,Predict ending with hint,0.0
bigscience/T0_3B,hellaswag,,200,15.519577026367188,Randomized prompts template,0.015
bigscience/T0_3B,hellaswag,,200,17.373531818389893,complete_first_then,0.005
bigscience/T0_3B,hellaswag,,200,14.399574279785156,if_begins_how_continues,0.01
bigscience/T0_3B,super_glue,copa,100,1.1336398124694824,exercise,0.81
bigscience/T0_3B,super_glue,copa,48,0.4892392158508301,"…What could happen next, C1 or C2?",0.6458333333333334
bigscience/T0_3B,super_glue,copa,100,1.1793019771575928,i_am_hesitating,0.78
bigscience/T0_3B,super_glue,copa,100,1.1140930652618408,plausible_alternatives,0.84
bigscience/T0_3B,super_glue,copa,100,1.0947275161743164,"C1 or C2? premise, so/because…",0.52
bigscience/T0_3B,super_glue,copa,48,0.5189483165740967,"…As a result, C1 or C2?",0.5416666666666666
bigscience/T0_3B,super_glue,copa,100,1.2307963371276855,best_option,0.68
bigscience/T0_3B,super_glue,copa,52,0.6013572216033936,…which may be caused by,0.5769230769230769
bigscience/T0_3B,super_glue,copa,100,1.1368873119354248,more likely,0.78
bigscience/T0_3B,super_glue,copa,100,1.0848674774169922,cause_effect,0.73
bigscience/T0_3B,super_glue,copa,52,0.5754098892211914,…why? C1 or C2,0.6730769230769231
bigscience/T0_3B,super_glue,copa,100,1.0543928146362305,choose,0.8
